Title,Developer,Publisher,first_released,region_first_released_in,Excluded,released_in_eu_pal_or_na,Physical_Owned,type_owned
_Summer,Hooksoft,GN Software,24/08/2006,JP,TRUE,FALSE,FALSE,
¡Qué pasa Neng! El videojuego,Mere Mortals,Phoenix Games,11/12/2006,EU,FALSE,TRUE,FALSE,
.hack//frägment,CyberConnect2,Bandai,23/11/2005,JP,TRUE,FALSE,FALSE,
.hack//G.U.vol.1//Rebirth,CyberConnect2,Bandai,18/05/2006,JP,FALSE,TRUE,FALSE,
.hack//G.U.vol.2//Reminisce,CyberConnect2,Namco Bandai Games,28/09/2006,JP,FALSE,TRUE,FALSE,
.hack//G.U.vol.3//Redemption,CyberConnect2,Namco Bandai Games,18/01/2007,JP,FALSE,TRUE,FALSE,
.hack//Infection Part 1,CyberConnect2,Bandai,20/06/2002,JP,FALSE,TRUE,FALSE,
.hack//Mutation Part 2,CyberConnect2,Bandai,19/09/2002,JP,FALSE,TRUE,FALSE,
.hack//Outbreak Part 3,CyberConnect2,Bandai,12/12/2002,JP,FALSE,TRUE,FALSE,
.hack//Quarantine Part 4,CyberConnect2,Bandai,10/04/2003,JP,FALSE,TRUE,FALSE,
007: NightFire,Eurocom,Electronic Arts,18/11/2002,NA,FALSE,TRUE,TRUE,Base
007: Quantum of Solace,Eurocom,Activision,31/10/2008,EU,FALSE,TRUE,TRUE,Base
10 Pin: Champions Alley,Liquid Games,OG International Ltd,05/04/2005,PAL,FALSE,TRUE,FALSE,
"10,000 Bullets",Blue Moon,"TaitoJP, CyberFrontKO, 505 Game StreetEU",24/02/2005,JP,FALSE,TRUE,FALSE,
120-en no Haru: 120 Yen Stories,Interchannel,Interchannel,24/02/2005,JP,TRUE,FALSE,FALSE,
12Riven: The Psi-Climinal of Integral,CyberFront,CyberFront,13/03/2008,JP,TRUE,FALSE,FALSE,
18 Wheeler American Pro Trucker,Acclaim Studios Cheltenham,"Acclaim Entertainment
Sega",14/11/2001,NA,FALSE,TRUE,FALSE,
187 Ride or Die,Ubisoft,Ubisoft,23/08/2005,NA,FALSE,TRUE,FALSE,
1945 I & II The Arcade Games,Psikyo,Play It!,16/07/2004,JP,FALSE,TRUE,TRUE,Base
2002 FIFA World Cup,EA Canada,EA Sports,22/04/2002,NA,FALSE,TRUE,FALSE,
2003-Toshi Kaimaku – Ganbare Kyuukaiou,Magical Company,Atlus Co.,15/05/2003,JP,TRUE,FALSE,FALSE,
21 Card Games,Mere Mortals,Phoenix Games,28/07/2006,PAL,FALSE,TRUE,FALSE,
24: The Game,SCE Studio Cambridge,2K Games,28/02/2006,NA,FALSE,TRUE,TRUE,Base
25 to Life,Avalanche Software,Eidos Interactive,17/01/2006,NA,FALSE,TRUE,FALSE,
2nd Super Robot Wars Alpha,Banpresto,Banpresto,27/03/2003,JP,TRUE,FALSE,FALSE,
3-Nen B-Gumi Kinpachi Sensei Densetsu no Kyoudan ni Tate!,Chunsoft,Chunsoft,24/06/2004,JP,TRUE,FALSE,FALSE,
3LDK – Shiawase ni Narouyo,PrincessSoft,PrincessSoft,01/07/2004,JP,TRUE,FALSE,FALSE,
3rd Super Robot Wars Alpha: To the End of the Galaxy,Banpresto,Banpresto,28/07/2005,JP,TRUE,FALSE,FALSE,
4x4 EVO,Terminal Reality,Gathering of Developers,26/02/2001,NA,FALSE,TRUE,FALSE,
4x4 EVO 2,Terminal Reality,BAM! Entertainment,04/11/2002,PAL,FALSE,TRUE,FALSE,
50 Cent: Bulletproof,Genuine Games,Vivendi Universal Games,17/11/2005,NA,FALSE,TRUE,TRUE,Base
7 Blades,Konami,Konami,21/12/2000,JP,FALSE,TRUE,FALSE,
7 Sins,Monte Cristo Multimedia,Digital Jesters,20/05/2005,PAL,FALSE,TRUE,FALSE,
7 Wonders of the Ancient World,MumboJumbo,MumboJumbo,20/11/2007,NA,FALSE,TRUE,FALSE,
A-Ressha de Ikou 2001,Artdink,Artdink,08/03/2001,JP,TRUE,FALSE,FALSE,
A-Ressha de Ikou 2001 Perfect Set,Artdink,Artdink,01/01/2002,JP,TRUE,FALSE,FALSE,
A-Train 6,Artdink,"ArtdinkJP, Midas Interactive EntertainmentEU",04/03/2000,JP,FALSE,TRUE,FALSE,
A.C.E.: Another Century's Episode,FromSoftware,Banpresto,27/01/2005,JP,TRUE,FALSE,FALSE,
A.C.E.: Another Century's Episode 2,FromSoftware,Banpresto,30/03/2006,JP,TRUE,FALSE,FALSE,
A.C.E.: Another Century's Episode 2 (Special Vocal Version),FromSoftware,Banpresto,29/11/2007,JP,TRUE,FALSE,FALSE,
A.C.E.: Another Century's Episode 3: The Final,FromSoftware,Banpresto,06/09/2007,JP,TRUE,FALSE,FALSE,
Aa Megami-sama,Marvelous,Marvelous,22/02/2007,JP,TRUE,FALSE,FALSE,
Abarenbō Princess,Alfa System,"Kadokawa Games, ESP",29/11/2001,JP,TRUE,FALSE,FALSE,
AC/DC Live: Rock Band Track Pack,Harmonix Music Systems,MTV Games,02/11/2008,NA,FALSE,TRUE,FALSE,
Ace Combat 04: Shattered Skies,Namco,Namco,01/11/2001,NA,FALSE,TRUE,FALSE,
Ace Combat 5: The Unsung War,Namco,Namco,25/10/2004,NA,FALSE,TRUE,FALSE,
Ace Combat Zero: The Belkan War,Namco,Namco,25/04/2006,NA,FALSE,TRUE,FALSE,
Ace Lightning,Absolute Studios,Gamezlab,14/03/2003,EU,FALSE,TRUE,FALSE,
Aces of War,Marionette,"TaitoJP, 505 Game Street",04/03/2004,JP,FALSE,TRUE,FALSE,
Action Girlz Racing,Data Design Interactive,Metro3D,15/09/2005,EU,FALSE,TRUE,FALSE,
Action Man A..TO.M.: Alpha Teens on Machines,Brain in a Jar,Blast! Entertainment Ltd,25/05/2007,PAL,FALSE,TRUE,FALSE,
Activision Anthology,Contraband Entertainment,Activision,19/11/2002,NA,FALSE,TRUE,FALSE,
Adiboo and the Energy Thieves,Coktel Studio,Vivendi Universal Games,24/09/2004,PAL,FALSE,TRUE,FALSE,
ADK Damashii,SNK Playmore,SNK Playmore,18/12/2008,JP,TRUE,FALSE,FALSE,
Adventure of Tokyo Disney Sea,Konami,Konami,20/12/2001,JP,TRUE,FALSE,FALSE,
Æon Flux,Terminal Reality,Majesco Entertainment,15/11/2005,NA,FALSE,TRUE,FALSE,
Aero Elite: Combat Academy,Sega-AM2,Sega,10/03/2003,NA,FALSE,TRUE,FALSE,
Aerobics Revolution,Konami,Konami,13/03/2003,JP,TRUE,FALSE,FALSE,
AFL Live 2003,IR Gurus,Acclaim Entertainment,05/09/2002,AU,FALSE,TRUE,FALSE,
AFL Live 2004,IR Gurus,Acclaim Entertainment,21/11/2003,AU,FALSE,TRUE,FALSE,
AFL Live Premiership Edition,IR Gurus,Acclaim Entertainment,29/04/2004,AU,FALSE,TRUE,FALSE,
AFL Premiership 2005: The Official Game of the AFL Premiership,IR Gurus,SCE AustraliaAU,22/09/2005,AU,FALSE,TRUE,FALSE,
AFL Premiership 2006,IR Gurus,SCE AustraliaAU,20/07/2006,AU,FALSE,TRUE,FALSE,
AFL Premiership 2007,IR Gurus,SCE AustraliaAU,28/06/2007,AU,FALSE,TRUE,FALSE,
After...,Pionesoft,Pionesoft,26/02/2004,JP,TRUE,FALSE,FALSE,
Agassi Tennis Generation,Aqua Pacific,DreamCatcher Interactive,25/08/2003,NA,FALSE,TRUE,FALSE,
Age of Empires II: The Age of Kings,Ensemble Studios,Konami,02/11/2001,EU,FALSE,TRUE,FALSE,
Agent Hugo,ITE Media,ITE Media,12/10/2005,PAL,FALSE,TRUE,FALSE,
Agent Hugo: Hula Holiday,Attractive Games,NDS Software,06/10/2008,RU,FALSE,TRUE,FALSE,
Agent Hugo: Lemoon Twist,Coyote Console,ITE Media,05/11/2007,PAL,FALSE,TRUE,FALSE,
Agent Hugo: Roborumble,ITE Media,ITE Media,06/10/2006,PAL,FALSE,TRUE,FALSE,
Aggressive Inline,Z-Axis,AKA Acclaim,28/05/2002,NA,FALSE,TRUE,FALSE,
AI Igo 2003,GeneX,GeneX,24/04/2003,JP,TRUE,FALSE,FALSE,
AI Mahjong 2003,GeneX,GeneX,24/04/2003,JP,TRUE,FALSE,FALSE,
AI Shogi 2003,GeneX,GeneX,24/04/2003,JP,TRUE,FALSE,FALSE,
Ai Yori Aoshi,KID,KID,20/03/2003,JP,TRUE,FALSE,FALSE,
Aikagi,NEC Interchannel,NEC Interchannel,25/09/2003,JP,TRUE,FALSE,FALSE,
Air,NEC Interchannel,NEC Interchannel,08/08/2002,JP,TRUE,FALSE,FALSE,
Air Raid 3,Phoenix Games,Phoenix Games,2004,PAL,FALSE,TRUE,FALSE,
Air Ranger 2 Plus: Rescue Helicopter,ASK,ASK,30/10/2003,JP,TRUE,FALSE,FALSE,
Air Ranger 2: Rescue Helicopter,ASK,ASK,28/03/2002,JP,TRUE,FALSE,FALSE,
Air Ranger: Rescue Helicopter,ASK,ASKJP Midas Interactive EntertainmentEU,29/03/2001,JP,FALSE,TRUE,TRUE,Base
AirBlade,Criterion Games,Namco,09/11/2001,EU,FALSE,TRUE,FALSE,
Airborne Troops: Countdown to D-Day,WideScreen Games,Mud Duck Productions,07/01/2005,NA,FALSE,TRUE,FALSE,
Airforce Delta Strike,KCE Studios,Konami,03/02/2004,NA,FALSE,TRUE,FALSE,
Akagi: Yami ni Furitatta Tensai,Warashi,D3 Publisher,12/12/2002,JP,TRUE,FALSE,FALSE,
Akai Ito,Success Corporation,Success Corporation,21/10/2004,JP,TRUE,FALSE,FALSE,
Akane Iro ni Somaru Saka: Parallel,Feng,GN Software,14/08/2008,JP,TRUE,FALSE,FALSE,
Akira Psycho Ball,KAZe,Bandai,17/02/2002,PAL,FALSE,TRUE,FALSE,
Akudaikan,Global A,Global A,08/08/2002,JP,TRUE,FALSE,FALSE,
Akudaikan 2: Mousouden,Global A,Global A,31/07/2003,JP,TRUE,FALSE,FALSE,
Akudaikan 3,Global A,Global A,01/03/2007,JP,TRUE,FALSE,FALSE,
Alan Hansen's Sports Challenge,The Code Monkeys,Oxygen Interactive,26/10/2007,PAL,FALSE,TRUE,FALSE,
Alarm for Cobra 11 Vol. 2: Hot Pursuit,Davilex,Midas Interactive Entertainment,10/06/2005,EU,FALSE,TRUE,FALSE,
Alarm für Cobra 11,Davilex,Midas Interactive Entertainment,05/12/2003,PAL,FALSE,TRUE,FALSE,
Alex Ferguson's Player Manager 2001,Anco Software,"3DO, Ubisoft",21/09/2001,PAL,FALSE,TRUE,FALSE,
Alfa Romeo Racing Italiano,Milestone,Valcon Games,24/06/2005,EU,FALSE,TRUE,FALSE,
Alias,Acclaim Studios Cheltenham,Acclaim Entertainment,05/04/2004,NA,FALSE,TRUE,FALSE,
Alien Hominid,The Behemoth,"O3 Entertainment, Zoo Digital PublishingEU",21/11/2004,NA,FALSE,TRUE,FALSE,
Aliens in the Attic,Revistronic,Playlogic,04/08/2009,AU,FALSE,TRUE,FALSE,
Aliens Versus Predator: Extinction,Zono,Electronic Arts,30/07/2003,NA,FALSE,TRUE,FALSE,
All Star Fighters,D3 Publisher,"D3 PublisherJP, Essential GamesPAL",15/12/2005,JP,FALSE,TRUE,FALSE,
All Star Pro-Wrestling,Square,Square,08/06/2000,JP,TRUE,FALSE,FALSE,
All Star Pro-Wrestling II,Square,Square,22/11/2001,JP,TRUE,FALSE,FALSE,
All Star Pro-Wrestling III,Square,Square,07/08/2003,JP,TRUE,FALSE,FALSE,
All-Star Baseball 2002,Acclaim Studios Austin,Acclaim Entertainment,12/03/2001,NA,FALSE,TRUE,FALSE,
All-Star Baseball 2003,Acclaim Studios Austin,Acclaim Entertainment,26/02/2002,NA,FALSE,TRUE,FALSE,
All-Star Baseball 2004,Acclaim Studios Austin,Acclaim Entertainment,01/03/2003,NA,FALSE,TRUE,FALSE,
All-Star Baseball 2005,Acclaim Studios Austin,Acclaim Entertainment,08/04/2004,NA,FALSE,TRUE,FALSE,
Alone in the Dark,Hydravision Entertainment,Atari,20/06/2008,EU,FALSE,TRUE,FALSE,
Alone in the Dark: The New Nightmare,Spiral House,Infogrames,28/09/2001,PAL,FALSE,TRUE,TRUE,Base
Alpine Racer 3,Namco,"NamcoJP, Sony Computer EntertainmentEU",28/03/2002,JP,FALSE,TRUE,FALSE,
Alpine Ski Racing 2007,49Games,"RTL Playtainment
JoWooD Productions",04/12/2006,PAL,FALSE,TRUE,FALSE,
Alpine Skiing 2005,49Games,"RTL Playtainment
Midas Interactive Entertainment",10/06/2005,PAL,FALSE,TRUE,FALSE,
Alter Echo,Outrage Games,THQ,19/08/2003,NA,FALSE,TRUE,FALSE,
Altered Beast,Wow Entertainment,Sega,27/01/2005,"JP,KO",FALSE,TRUE,FALSE,
Alvin and the Chipmunks,Brash Entertainment,Brash Entertainment,04/12/2007,NA,FALSE,TRUE,TRUE,Base
Amagami,Enterbrain,Enterbrain,19/03/2009,JP,TRUE,FALSE,FALSE,
Amagoushi no Yakata,Fog,Nippon Ichi Software,08/03/2007,JP,TRUE,FALSE,FALSE,
America Oudan Ultra-Quiz,DigiCube,DigiCube,28/03/2002,JP,TRUE,FALSE,FALSE,
American Chopper,Creat Studio,"Activision Value, Zoo Digital PublishingEU",25/11/2004,NA,FALSE,TRUE,FALSE,
American Chopper 2: Full Throttle,Creat Studio,"Activision, Zoo Digital PublishingEU, Activision ValueAU",20/11/2005,NA,FALSE,TRUE,FALSE,
American Pool II,Phoenix Games,Phoenix Games,09/03/2007,PAL,FALSE,TRUE,FALSE,
AMF Xtreme Bowling,Mud Duck Productions,"Mud Duck Productions, MastertronicEU",13/06/2006,NA,FALSE,TRUE,FALSE,
Amplitude,Harmonix Music Systems,Sony Computer Entertainment,24/03/2003,NA,FALSE,TRUE,FALSE,
An American Tail,Data Design Interactive,Blast! Entertainment Ltd,12/07/2007,AU,FALSE,TRUE,TRUE,Base
AND 1 Streetball,Black Ops Entertainment,Ubisoft,06/06/2006,NA,FALSE,TRUE,FALSE,
Angel Profile,GeneX,CyberFront,27/09/2007,JP,TRUE,FALSE,FALSE,
Angel Wish: Kimi no Egao ni Chu!,Pionesoft,Pionesoft,24/02/2005,JP,TRUE,FALSE,FALSE,
Angel's Feather,KID,KID,11/03/2004,JP,TRUE,FALSE,FALSE,
Angel's Feather: Kuro no Zanei,Blue Impact,GN Software,30/06/2005,JP,TRUE,FALSE,FALSE,
Angelic Concert,Success Corporation,Success Corporation,13/03/2003,JP,TRUE,FALSE,FALSE,
Angelique Etoile,Ruby Party,Koei,16/09/2004,JP,TRUE,FALSE,FALSE,
Angelique Trois,Ruby Party,Koei,22/11/2000,JP,TRUE,FALSE,FALSE,
Angelique Trois: Aizouhen,Ruby Party,Koei,26/07/2001,JP,TRUE,FALSE,FALSE,
Animal Soccer World,The Code Monkeys,Phoenix Games,2005,PAL,FALSE,TRUE,FALSE,
Animaniacs: The Great Edgar Hunt,Warthog,Ignition Entertainment,24/06/2005,PAL,FALSE,TRUE,FALSE,
Antz Extreme Racing,Supersonic Software,Empire Interactive,26/07/2002,EU,FALSE,TRUE,FALSE,
Anubis II,Data Design Interactive,Metro 3D,14/07/2005,PAL,FALSE,TRUE,FALSE,
Anya Nisasayaku,Idea Factory,Idea Factory,09/02/2006,JP,TRUE,FALSE,FALSE,
Aoi no Mamade...,Idea Factory,Idea Factory,28/10/2004,JP,TRUE,FALSE,FALSE,
Aoi Sora no Neosphere: Nanoca Flanka Hatsumei Koubouki 2~,Kogado Studio,Nippon Ichi Software,22/02/2007,JP,TRUE,FALSE,FALSE,
Aoi Umi no Tristia: Nanoca Flanka Hatsumei Koubouki,Kogado Studio,Nippon Ichi Software,11/08/2005,JP,TRUE,FALSE,FALSE,
Aoishiro,Success Corporation,Success Corporation,15/05/2008,JP,TRUE,FALSE,FALSE,
Ape Escape 2,Sony Computer Entertainment,"Sony Computer Entertainment, UbisoftNA",18/07/2002,JP,FALSE,TRUE,FALSE,
Ape Escape 3,Sony Computer Entertainment,Sony Computer Entertainment,12/07/2005,AS,FALSE,TRUE,FALSE,
Ape Escape: Pumped & Primed,Japan Studio,"Sony Computer EntertainmentJP, UbisoftNA",01/07/2004,JP,FALSE,TRUE,FALSE,
Apocripha/0,GN Software,GN Software,28/10/2004,JP,TRUE,FALSE,FALSE,
Appleseed EX,DreamFactory,Sega,15/02/2007,JP,TRUE,FALSE,FALSE,
Aqua Aqua,Zed Two Limited,"ImagineerJP, 3DOEU, NA",02/11/2000,JP,FALSE,TRUE,FALSE,
Aqua Kids,Cinepix,Yuke's,12/08/2004,JP,TRUE,FALSE,FALSE,
Aqua Teen Hunger Force Zombie Ninja Pro-Am,Creat Studio,Midway Games,05/11/2007,NA,FALSE,TRUE,FALSE,
Ar tonelico II: Melody of Metafalica,Gust,"BanprestoJP, NIS AmericaNA, EU",25/10/2007,JP,FALSE,TRUE,FALSE,
Ar tonelico: Melody of Elemia,Gust,"BanprestoJP, NIS AmericaNA, 505 GamesEU",26/01/2006,JP,FALSE,TRUE,FALSE,
Arabians Lost: The Engagement on Desert,QuinRose,"Prototype, QuinRose",11/10/2007,JP,TRUE,FALSE,FALSE,
Arc the Lad: End of Darkness,Cattle Call,"Sony Computer EntertainmentJP, NamcoNA",03/11/2004,JP,FALSE,TRUE,FALSE,
Arc the Lad: Twilight of the Spirits,Cattle Call,Sony Computer Entertainment,20/03/2003,JP,FALSE,TRUE,FALSE,
Arcade Action: 30 Games,SG Diffusion,Phoenix Games,19/11/2004,PAL,FALSE,TRUE,FALSE,
Arcade Classics Volume One,Play It!,Play It!,21/04/2006,PAL,FALSE,TRUE,FALSE,
Arcade USA,Mere Mortals,Phoenix Games,21/04/2006,AU,FALSE,TRUE,FALSE,
Arcana Heart,Konami Examu Entertainment inc.,"AQ InteractiveJP, AtlusUS",11/10/2007,JP,FALSE,TRUE,FALSE,
Arcobaleno!,Idea Factory,Idea Factory,14/05/2009,JP,TRUE,FALSE,FALSE,
Arctic Thunder,Inland Productions,Midway Games,17/09/2001,NA,FALSE,TRUE,FALSE,
Are You Smarter Than a 5th Grader: Make the Grade,ImaginEngine,THQ,20/10/2008,NA,FALSE,TRUE,FALSE,
Area 51,Midway Studios Austin,"Midway GamesNA, PAL, Success CorporationJP",25/04/2005,NA,FALSE,TRUE,FALSE,
Arena Football,EA Tiburon,EA Sports,07/02/2006,NA,FALSE,TRUE,FALSE,
Arena Football: Road to Glory,Budcat,EA Sports,20/02/2007,NA,FALSE,TRUE,FALSE,
Aria: The Natural ~Tooi Yume no Mirage~,Regista,Alchemist,28/09/2006,JP,TRUE,FALSE,FALSE,
Aria: The Origination ~Aoi Hoshi no Il Cielo~,Regista,Alchemist,26/06/2008,JP,TRUE,FALSE,FALSE,
Armen Noir,Otomate,Idea Factory,09/12/2010,JP,TRUE,FALSE,FALSE,
Armored Core 2,FromSoftware,"FromSoftwareJP, Agetec Inc.NA, UbisoftEU",03/08/2000,JP,FALSE,TRUE,FALSE,
Armored Core 2: Another Age,FromSoftware,"FromSoftwareJP, Agetec Inc.NA, Metro3DEU",12/04/2001,JP,FALSE,TRUE,FALSE,
Armored Core 3,FromSoftware,"FromSoftwareJP, Agetec Inc.NA, Metro3DEU",04/04/2002,JP,FALSE,TRUE,FALSE,
Armored Core: Formula Front,FromSoftware,FromSoftware,03/03/2005,JP,TRUE,FALSE,FALSE,
Armored Core: Last Raven,FromSoftware,"FromSoftwareJP, Agetec Inc.NA, 505 GamesPAL",04/08/2005,JP,FALSE,TRUE,FALSE,
Armored Core: Nexus,FromSoftware,"FromSoftwareJP, Agetec Inc.NA, Indie GamesEU",18/03/2004,JP,FALSE,TRUE,FALSE,
Armored Core: Nine Breaker,FromSoftware,"FromSoftwareJP, Agetec Inc.NA, 505 GamesEU",28/10/2004,JP,FALSE,TRUE,FALSE,
Army Men: Air Attack 2,3DO,3DO,23/03/2001,NA,FALSE,TRUE,FALSE,
Army Men: Green Rogue,3DO,3DO,25/03/2001,NA,FALSE,TRUE,FALSE,
Army Men: Major Malfunction,Global Star Software,Global Star Software,04/08/2006,PAL,FALSE,TRUE,FALSE,
Army Men: RTS,Pandemic Studios,"3DONA, EU, CapcomJP",27/03/2002,NA,FALSE,TRUE,TRUE,Base
Army Men: Sarge's Heroes 2,3DO,"3DONA, MidasEU",03/01/2001,EU,FALSE,TRUE,TRUE,Base
Army Men: Sarge's War,Tactical Development,Global Star Software,23/07/2004,PAL,FALSE,TRUE,FALSE,
Army Men: Soldiers of Misfortune,Big Blue Bubble,DSI Games,04/11/2008,NA,FALSE,TRUE,FALSE,
Art of Fighting Anthology,SNK Playmore,"SNK Playmore, Crave EntertainmentEU",06/11/2005,JP,FALSE,TRUE,FALSE,
Arthur and the Invisibles: The Game,Etranges Libellules,Atari,09/01/2007,NA,FALSE,TRUE,FALSE,
Ashita no Joe 2: The Anime Super Remix,Capcom,Capcom,20/06/2002,JP,TRUE,FALSE,FALSE,
Ashita no Joe Touchi: Typing Namida Hashi,Dual,SunSoft,29/03/2001,JP,TRUE,FALSE,FALSE,
Ashita no Joe: Masshiro ni Moe Tsukiro!,Konami,Konami,04/12/2003,JP,TRUE,FALSE,FALSE,
Asobi ni Iku Yo!,Design Factory,Idea Factory,27/07/2006,JP,TRUE,FALSE,FALSE,
Assault Suits Valken,Psikyo,"NCSJP, X-NautsKO, 505 Game StreetEU",26/08/2004,JP,FALSE,TRUE,FALSE,
Asterix & Obelix XXL 2: Mission: Las Vegum,Etranges Libellules,Atari Europe,30/06/2006,EU,FALSE,TRUE,FALSE,
Asterix & Obelix: Kick Buttix,Etranges Libellules,Atari Europe,19/03/2004,EU,FALSE,TRUE,FALSE,
Asterix at the Olympic Games,Etranges Libellules,Atari Europe,28/02/2008,AU,FALSE,TRUE,FALSE,
Astro Boy,Sonic Team,Sega,18/03/2004,JP,FALSE,TRUE,FALSE,
Astro Boy: The Video Game,High Voltage Software,D3 Publisher,20/10/2009,NA,FALSE,TRUE,FALSE,
Astro Kyuudan: Kessen!! Victory Kyuudanhen,Sunrise Interactive,Sunrise Interactive,23/11/2005,JP,TRUE,FALSE,FALSE,
Atari Anthology,Digital Eclipse,Atari,22/11/2004,NA,FALSE,TRUE,TRUE,Base
Atelier Iris 2: The Azoth of Destiny,Gust,"GustJP, NIS AmericaNA, KoeiEU, THQAU",26/05/2005,JP,FALSE,TRUE,FALSE,
Atelier Iris 3: Grand Phantasm,Gust,"GustJP, NIS AmericaNA, KoeiEU, THQAU",29/06/2006,JP,FALSE,TRUE,FALSE,
Atelier Iris: Eternal Mana,Gust,"GustJP, NIS AmericaNA, KoeiEU, THQAU",27/05/2004,JP,FALSE,TRUE,FALSE,
Atelier Marie + Elie,Gust,Gust,27/10/2005,JP,TRUE,FALSE,FALSE,
Athens 2004,Eurocom Entertainment Software,Sony Computer Entertainment,02/07/2004,EU,FALSE,TRUE,TRUE,Base
Atlantis III: The New World,Cryo Interactive,Cryo Interactive,08/02/2002,EU,FALSE,TRUE,FALSE,
ATV Offroad Fury,Rainbow Studios,Sony Computer Entertainment,05/02/2001,NA,FALSE,TRUE,FALSE,
ATV Offroad Fury 2,Rainbow Studios,Sony Computer Entertainment,09/11/2002,NA,FALSE,TRUE,FALSE,
ATV Offroad Fury 3,Climax Group,"Sony Computer EntertainmentNA, SouthPeak GamesEU",02/11/2004,NA,FALSE,TRUE,FALSE,
ATV Offroad Fury 4,Climax Group,Sony Computer Entertainment,31/10/2006,NA,FALSE,TRUE,FALSE,
ATV Quad Power Racing 2,Climax Brighton,AKA Acclaim,13/01/2003,NA,FALSE,TRUE,FALSE,
Austin Mini Racing,Data Design Interactive,Metro3D Europe,17/03/2006,EU,FALSE,TRUE,FALSE,
Australian Idol Sing,Milestone,Black Bean Games,19/09/2006,AU,FALSE,TRUE,FALSE,
Auto Modellista,Capcom,Capcom,22/08/2002,JP,FALSE,TRUE,FALSE,
Autobahn Raser IV,Davilex,Davilex,31/12/2002,EU,FALSE,TRUE,FALSE,
Autobahn Raser: Das Spiel zum Film,Davilex,Davilex,29/04/2004,EU,FALSE,TRUE,FALSE,
Avatar: The Last Airbender,THQ Studio Australia,THQ,10/10/2006,NA,FALSE,TRUE,FALSE,
Avatar: The Last Airbender – Into the Inferno,THQ Studio Australia,THQ,13/10/2008,NA,FALSE,TRUE,FALSE,
Avatar: The Last Airbender – The Burning Earth,THQ Studio Australia,THQ,16/10/2007,NA,FALSE,TRUE,FALSE,
Ayakashibito,Dimple Entertainment,Dimple Entertainment,31/08/2006,JP,TRUE,FALSE,FALSE,
Azumi,Gargoyle Mechanics,"ESP Software, D3 Publisher",24/03/2005,JP,TRUE,FALSE,FALSE,
Azur & Asmar,Wizarbox,Emme,26/04/2007,PAL,FALSE,TRUE,FALSE,
B-Boy,FreeStyleGames,"Evolved GamesNA, Sony Computer EntertainmentPAL",29/09/2006,EU,FALSE,TRUE,FALSE,
Babe,Aqua Pacific,Blast! Entertainment Ltd,13/10/2006,PAL,FALSE,TRUE,TRUE,Base
Backyard Baseball,Humongous Entertainment,Atari,23/03/2004,NA,FALSE,TRUE,FALSE,
Backyard Baseball '09,Humongous Entertainment,Atari,10/06/2008,NA,FALSE,TRUE,FALSE,
Backyard Baseball '10,Farsight Studios,Atari,28/04/2009,NA,FALSE,TRUE,FALSE,
Backyard Basketball,Humongous Entertainment,Atari,21/10/2003,NA,FALSE,TRUE,FALSE,
Backyard Football '08,FarSight Technologies,Atari,16/10/2007,NA,FALSE,TRUE,FALSE,
Backyard Football '09,FarSight Technologies,Atari,21/10/2008,NA,FALSE,TRUE,FALSE,
Backyard Football '10,FarSight Technologies,Atari,20/10/2009,NA,FALSE,TRUE,FALSE,
Backyard Football 2006,Humongous Entertainment,Atari,04/10/2005,NA,FALSE,TRUE,FALSE,
Backyard Sports: Baseball 2007,Game Brains,Atari,05/09/2006,NA,FALSE,TRUE,FALSE,
Backyard Sports: Basketball 2007,Game Brains,Atari,13/02/2007,NA,FALSE,TRUE,FALSE,
Backyard Wrestling 2: There Goes the Neighborhood,Paradox Development,Eidos Interactive,16/11/2004,NA,FALSE,TRUE,FALSE,
Backyard Wrestling: Don't Try This at Home,Paradox Development,Eidos Interactive,07/10/2003,NA,FALSE,TRUE,FALSE,
Bad Boys: Miami Takedown,Blitz Games,"Empire InteractiveEU, Crave EntertainmentNA",2004-02,EU,FALSE,TRUE,FALSE,
Bakufuu Slash! Kizna Arashi,Sony Computer Entertainment,Sony Computer Entertainment,03/11/2004,JP,TRUE,FALSE,FALSE,
Bakugan Battle Brawlers,Now Production,Activision,20/10/2009,NA,FALSE,TRUE,FALSE,
Bakumatsu Renka: Karyuu Kenshiden,Vridge,D3 Publisher,04/10/2007,JP,TRUE,FALSE,FALSE,
Bakumatsu Renka: Shinsengumi,Vridge,D3 Publisher,22/12/2004,JP,TRUE,FALSE,FALSE,
Bakumatsu Rouman: Gekka no Kenshi 1-2,SNK Playmore,SNK Playmore,12/01/2006,JP,TRUE,FALSE,FALSE,
Bakushou! Jinsei Kaidou,Taito,Taito,18/03/2004,JP,TRUE,FALSE,FALSE,
Bakusou Dekotora Densetsu: Otoko Hanamichi Yume Roman,Dual,Spike,23/01/2003,JP,TRUE,FALSE,FALSE,
Baldr Bullet: Equilibrium,TGL,Alchemist,25/10/2007,JP,TRUE,FALSE,FALSE,
Baldr Force EXE,HuneX,Alchemist,07/04/2005,JP,TRUE,FALSE,FALSE,
Baldur's Gate: Dark Alliance,Snowblind Studios,"Interplay EntertainmentEU, NA, Pacific Century Cyber WorksJP",02/12/2001,NA,FALSE,TRUE,TRUE,Base
Baldur's Gate: Dark Alliance II,Black Isle Studios,Interplay Entertainment,20/01/2004,NA,FALSE,TRUE,FALSE,
Band Hero,BudCat,Activision,03/11/2009,NA,FALSE,TRUE,FALSE,
