Title,Developer,Publisher,first_released,region_first_released_in,Excluded,released_in_eu_pal_or_na,Physical_Owned,type_owned
Formula One 06,Studio Liverpool,Sony Computer Entertainment,28/07/2006,EU,FALSE,TRUE,TRUE,Platinum
Formula One 2001,Studio Liverpool,Sony Computer Entertainment,20/04/2001,EU,FALSE,TRUE,FALSE,
Formula One 2002,Studio Liverpool,Sony Computer Entertainment,01/11/2002,EU,FALSE,TRUE,TRUE,Base
Formula One 2003,Studio Liverpool,Sony Computer Entertainment,11/07/2003,EU,FALSE,TRUE,TRUE,Base
Forty 4 Party,HuneX,"D3 PublisherJP, 505 Game StreetEU",08/11/2001,JP,FALSE,TRUE,FALSE,
Fragments Blue,SilverBullet,Kadokawa Games,19/01/2006,JP,TRUE,FALSE,FALSE,
Fragrance Tale,Takuyo,Takuyo,28/04/2005,JP,TRUE,FALSE,FALSE,
Frank Herbert's Dune,WideScreen Games,Cryo Interactive,14/11/2001,EU,FALSE,TRUE,FALSE,
Frankie Dettori Racing,Sidhe,Tru Blu Entertainment,26/10/2006,AU,FALSE,TRUE,FALSE,
Franklin: A Birthday Surprise,Neko Entertainment,The Game Factory,31/03/2006,EU,FALSE,TRUE,TRUE,Base
Freak Out: Extreme Freeride,Coldwood Interactive,JoWooD Entertainment,30/03/2007,EU,FALSE,TRUE,FALSE,
Freaky Flyers,Midway Games,Midway Games,05/08/2003,NA,FALSE,TRUE,FALSE,
Free Running,Rebellion Developments,"UbisoftAU, Reef EntertainmentEU",05/04/2007,AU,FALSE,TRUE,FALSE,
Freedom Fighters,IO Interactive,Electronic Arts,26/09/2003,EU,FALSE,TRUE,FALSE,
Freekstyle,Page 44 Studios,EA Sports Big,17/06/2002,NA,FALSE,TRUE,FALSE,
Freestyle MetalX,Deibus Studios,Midway Games,27/06/2003,NA,FALSE,TRUE,FALSE,
Frequency,Harmonix Music Systems,Sony Computer Entertainment,19/11/2001,NA,FALSE,TRUE,FALSE,
Friends: Seishun no Kagayaki,F&C,NEC Interchannel,30/09/2004,JP,TRUE,FALSE,FALSE,
Friends: The One with All the Trivia,Artech Studios,Warner Bros. Interactive Entertainment,15/11/2005,NA,FALSE,TRUE,TRUE,Base
Frogger Beyond,Konami,Konami,26/06/2003,JP,FALSE,TRUE,FALSE,
Frogger: Ancient Shadow,Hudson Soft,Konami,27/09/2005,NA,FALSE,TRUE,FALSE,
Frogger: The Great Quest,Konami,Konami,18/11/2001,NA,FALSE,TRUE,FALSE,
Frogger's Adventures: The Rescue,Konami,Konami,29/10/2003,NA,FALSE,TRUE,FALSE,
From Russia with Love,EA Redwood Shores,Electronic Arts,01/11/2005,NA,FALSE,TRUE,TRUE,Base
Front Mission 4,Square Enix,Square Enix,18/12/2003,JP,FALSE,TRUE,FALSE,
Front Mission 5: Scars of the War,Square Enix,Square Enix,29/12/2005,JP,TRUE,FALSE,FALSE,
Front Mission Online,Square Enix,Square Enix,12/05/2005,JP,TRUE,FALSE,FALSE,
Fruit Machine Mania,Liquid Games,OG International Ltd,12/05/2006,EU,FALSE,TRUE,FALSE,
Fruitfall,Phoenix Games,Phoenix Games,2007,EU,FALSE,TRUE,FALSE,
Fugitive Hunter: War on Terror,Black Ops Entertainment,"Encore SoftwareNA, Play It!EU",18/11/2003,NA,FALSE,TRUE,FALSE,
Fukakutei Sekai no Tantei Shinshi: Akugyou Futaasa no Jiken File,Abel Software,Abel Software,29/01/2009,JP,TRUE,FALSE,FALSE,
Full House Kiss,Tenky,Capcom,22/07/2004,JP,TRUE,FALSE,FALSE,
Full House Kiss 2,Tenky,Capcom,23/02/2006,JP,TRUE,FALSE,FALSE,
Full Spectrum Warrior,Pandemic Studios,"THQEU, KO, NA, SegaJP",28/03/2005,NA,FALSE,TRUE,FALSE,
Full Spectrum Warrior: Ten Hammers,Pandemic Studios,"THQEU, KO, NA, SegaJP",28/03/2006,NA,FALSE,TRUE,FALSE,
Fullmetal Alchemist 2: Curse of the Crimson Elixir,Racjin,Square Enix,22/09/2004,JP,FALSE,TRUE,FALSE,
Fullmetal Alchemist 3: The Girl who Succeeds God,Racjin,Square Enix,21/07/2005,JP,TRUE,FALSE,FALSE,
Fullmetal Alchemist and the Broken Angel,Racjin,Square Enix,25/12/2003,JP,FALSE,TRUE,FALSE,
Fullmetal Alchemist: Dream Carnival,Eighting,Bandai,26/08/2004,JP,TRUE,FALSE,FALSE,
Fur Fighters: Viggo's Revenge,Bizarre Creations,Acclaim Entertainment,03/06/2001,NA,FALSE,TRUE,FALSE,
Furasera: Hurrah! Sailor,Datam Polystar,Datam Polystar,26/02/2004,JP,TRUE,FALSE,FALSE,
Furry Tales,Mad Monkey,Phoenix Games,22/10/2004,EU,FALSE,TRUE,FALSE,
Fushigi no Kuni no Alice,Global A,Global A,12/06/2003,JP,TRUE,FALSE,FALSE,
Fushigi no Umi no Nadia: Inherit the Blue Water,Jinx,Jinx,22/09/2005,JP,TRUE,FALSE,FALSE,
Fushigi Yuugi: Genbu Kaiten Gaiden - Kagami no Miko,Idea Factory,Idea Factory,23/06/2005,JP,TRUE,FALSE,FALSE,
Fushigi Yuugi: Suzaku Ibun,Idea Factory,Idea Factory,29/05/2008,JP,TRUE,FALSE,FALSE,
Futakoi,Alpha Unit,MediaWorks,09/12/2004,JP,TRUE,FALSE,FALSE,
Futakoi Alternative,Marvelous Entertainment,Marvelous Entertainment,23/06/2005,JP,TRUE,FALSE,FALSE,
Futakoi: Koi to Mizugi no Survival,Alpha Unit,MediaWorks,25/08/2005,JP,TRUE,FALSE,FALSE,
Futari no Fantavision,SCEJ,SCEJ,04/07/2002,JP,TRUE,FALSE,FALSE,
Futurama,Unique Development Studios,"SCi GamesEU, Vivendi Universal GamesNA",01/08/2003,EU,FALSE,TRUE,FALSE,
Future Tactics: The Uprising,Zed Two,JoWood Entertainment,10/05/2004,NA,FALSE,TRUE,FALSE,
Fuun Bakumatsuden,Genki,Genki,20/01/2005,JP,TRUE,FALSE,FALSE,
Fuuraiki,FOG Inc.,FOG Inc.,28/09/2006,JP,TRUE,FALSE,FALSE,
Fuuraiki 2,FOG Inc.,FOG Inc.,10/11/2005,JP,TRUE,FALSE,FALSE,
Fuuun Shinsengumi,Genki,Konami,22/01/2004,JP,TRUE,FALSE,FALSE,
Fuuun Super Combo,SNK Playmore,SNK Playmore,21/06/2007,JP,TRUE,FALSE,FALSE,
G-Force,Eurocom,Disney Interactive Studios,21/07/2009,NA,FALSE,TRUE,FALSE,
G-Force (2006),Mere Mortals,Phoenix Games,06/10/2006,EU,FALSE,TRUE,FALSE,
G-Saviour,Atelier-Sai,Sunrise Interactive,14/09/2000,JP,TRUE,FALSE,FALSE,
G-Taste Mahjong,Psikyo,X-Nauts,24/04/2003,JP,TRUE,FALSE,FALSE,
G.I. Joe: The Rise of Cobra,Double Helix Games,Electronic Arts,04/08/2009,"AU,NA",FALSE,TRUE,FALSE,
G1 Jockey,Koei/Inis,"KoeiJP, THQEU",22/03/2001,JP,FALSE,TRUE,TRUE,Base
G1 Jockey 2,Koei/Inis,KoeiJP,02/11/2000,JP,TRUE,FALSE,FALSE,
G1 Jockey 3,Koei/Inis,"KoeiJP, NA, THQEU",21/12/2002,JP,FALSE,TRUE,TRUE,Base
G1 Jockey 3 2003,Koei/Inis,Koei,30/10/2003,JP,TRUE,FALSE,FALSE,
G1 Jockey 3 2005 Nendoban,Koei,Koei,24/02/2005,JP,TRUE,FALSE,FALSE,
G1 Jockey 4,Koei,Koei,22/12/2005,JP,FALSE,TRUE,TRUE,Base
G1 Jockey 4 2006,Koei,Koei,14/09/2006,JP,TRUE,FALSE,FALSE,
G1 Jockey 4 2007,Koei,Koei,01/11/2007,JP,TRUE,FALSE,FALSE,
G1 Jockey 4 2008,Koei,Koei,18/09/2008,JP,TRUE,FALSE,FALSE,
Gacharoku,Agenda,Sony Computer Entertainment,05/12/2002,JP,TRUE,FALSE,FALSE,
Gacharoku 2: Kondo wa Sekai Isshuu yo!!,Agenda,Sony Computer Entertainment,18/12/2003,JP,TRUE,FALSE,FALSE,
Gachinko Pro Yakyuu,Now Production,Now Production,07/08/2003,JP,TRUE,FALSE,FALSE,
Gadget & the Gadgetinis,EKO Software,Hip Games,05/11/2004,EU,FALSE,TRUE,TRUE,Base
Gaelic Games: Football,IR Gurus,Sony Computer Entertainment,11/11/2005,IE,FALSE,TRUE,FALSE,
Gaelic Games: Football 2,IR Gurus,Sony Computer Entertainment,17/08/2007,IE,FALSE,TRUE,FALSE,
Gaelic Games: Hurling,IR Gurus,Sony Computer Entertainment,30/11/2007,IE,FALSE,TRUE,FALSE,
Gaika no Gouhou: Air Land Force,Koei,Koei,28/08/2003,JP,TRUE,FALSE,FALSE,
Gakkou o Tsukurou!! Happy Days,Marvelous Entertainment,Marvelous Entertainment,24/03/2005,JP,TRUE,FALSE,FALSE,
Gakuen Alice: KiraKira Memory Kiss,Kids Station,Kids Station,22/06/2006,JP,TRUE,FALSE,FALSE,
Gakuen Heaven: Boy's Love Scramble: Type B,Spray,NEC Interchannel,22/07/2004,JP,TRUE,FALSE,FALSE,
Gakuen Heaven: Boy's Love Scramble!,Spray,NEC Interchannel,27/11/2003,JP,TRUE,FALSE,FALSE,
